,id,createdTime,fields.Unnamed: 0,fields.index,fields.city_name,fields.iata_code,fields.gmt,fields.timezone,fields.latitude,fields.longitude
0,rec00MC2Srdn4cAkC,2024-07-21T16:12:14.000Z,661,905,Bari,BRI,1,Europe/Rome,41.126,16.868378
1,rec00NILXDQTwvv1F,2024-07-21T16:14:58.000Z,2989,2804,Hefei (Luogang Airport),HFE,8,Asia/Shanghai,31.85,117.28333
2,rec00fHyi4s6bAVYs,2024-07-21T16:20:15.000Z,7304,6797,Skien,SKE,1,Europe/Oslo,59.182777,9.5625
3,rec00xvZ6C0AjoqAE,2024-07-21T16:16:49.000Z,4520,4675,Mackay,MKY,10,Australia/Brisbane,-21.176285,149.1818
4,rec01nUJej1qYWZuU,2024-07-21T16:16:48.000Z,4509,7668,Mabuiag Island,UBB,10,Australia/Brisbane,-9.95,142.18333
5,rec02nfA8ursTLNCx,2024-07-21T16:20:02.000Z,7129,8309,Senneterre,XFK,-5,America/Montreal,48.3835,-77.2328
6,rec033u1x8Z4y64VZ,2024-07-21T16:15:09.000Z,3146,2966,Huntington,HTS,-5,America/New_York,38.366943,-82.556114
7,rec03FZMmyQoP7yGg,2024-07-21T16:20:50.000Z,7763,7626,Tawau,TWU,8,Asia/Kuching,4.26275,117.884865
8,rec04DM0yypgwuSJJ,2024-07-21T16:13:44.000Z,1901,1872,Decatur Island,DTR,-8,America/Los_Angeles,48.516666,-122.833336
9,rec04ROqaIeWn8gDd,2024-07-21T16:15:55.000Z,3788,8276,Killineq,XBW,-5,America/Montreal,42.65,-80.82
10,rec04wa29qJuMtuy4,2024-07-21T16:17:28.000Z,5053,4784,Mokpo,MPK,9,Asia/Seoul,34.756668,126.385
11,rec054xDPZxhuo82i,2024-07-21T16:15:06.000Z,3100,2849,Hoskins,HKN,10,Pacific/Port_Moresby,-5.456876,150.403
12,rec057UFpTO4XNFPF,2024-07-21T16:11:27.000Z,17,41,Aberdeen,ABR,-6,America/Chicago,45.4525,-98.42611
13,rec05fsjbRKXpeN1D,2024-07-21T16:20:25.000Z,7429,6706,St George,SGO,10,Australia/Brisbane,-28.053333,148.59389
14,rec05roXmG6a0dIBa,2024-07-21T16:16:55.000Z,4605,4793,Maliana,MPT,9,Asia/Dili,-8.066667,125.25
15,rec06Uts4QwWD7IZL,2024-07-21T16:20:54.000Z,7819,7529,Terrell,TRL,-6,America/Chicago,32.735832,-96.275
16,rec06eNnIhdd60ZuP,2024-07-21T16:14:43.000Z,2758,3607,Grayling,KGX,-9,America/Anchorage,62.89528,-160.0625
17,rec08rBLUPlK45WxV,2024-07-21T16:21:57.000Z,8665,3946,Yalata Mission,KYI,9.30,Australia/Adelaide,-31.483334,131.86667
18,rec090gEAo8vP2aGU,2024-07-21T16:18:22.000Z,5778,5561,Osijek,OSI,1,Europe/Zagreb,45.55,18.683332
19,rec09EHBCL1VK7eEA,2024-07-21T16:16:30.000Z,4252,4336,Leonardtown,LTW,-5,America/New_York,38.25,-76.666664
20,rec09JGnjp7KLDhoL,2024-07-21T16:14:53.000Z,2901,2783,Hamadan,HDM,3.30,Asia/Tehran,34.867146,48.53732
21,rec09Ll5hJ2h5zVdN,2024-07-21T16:15:37.000Z,3542,3475,Kaltag,KAL,-9,America/Anchorage,64.321945,-158.73611
22,rec09fBnJTdO2o26t,2024-07-21T16:13:18.000Z,1549,1273,Circle Hot Springs,CHP,-9,America/Anchorage,65.46667,-144.58333
23,rec0BOQkdNbg5dGJU,2024-07-21T16:12:01.000Z,491,423,Augusta,AUG,-5,America/New_York,44.318054,-69.79667
24,rec0BcFruqwgsnoIm,2024-07-21T16:13:03.000Z,1331,1512,Carti,CTE,-5,America/Panama,8.833333,-80.833336
25,rec0Bud7rM2Kh5Gql,2024-07-21T16:14:08.000Z,2256,2098,Esa'Ala,ESA,10,Pacific/Port_Moresby,-9.733333,150.81667
26,rec0CDbui3BOJs23A,2024-07-21T16:16:55.000Z,4608,4702,Malmo,MMA,1,Europe/Stockholm,55.61,13.004
27,rec0CZLc3eerKvB7q,2024-07-21T16:11:30.000Z,52,113,Afton,AFO,-7,America/Denver,42.733334,-110.933334
28,rec0D2YHbaK80fbYz,2024-07-21T16:14:35.000Z,2640,8713,Gillam,YGX,-6,America/Winnipeg,56.35,-94.7
29,rec0D4OJLiJerVoX1,2024-07-21T16:12:50.000Z,1156,990,Burbank,BUR,-8,America/Los_Angeles,34.19619,-118.35411
30,rec0DaQO8bam6d8yj,2024-07-21T16:13:59.000Z,2111,1926,Eau Claire,EAU,-6,America/Chicago,44.864445,-91.48722
31,rec0EXQGLCNdB8JMK,2024-07-21T16:12:31.000Z,907,1004,Birdsville,BVI,10,Australia/Brisbane,-25.898333,139.34334
32,rec0Eiz2JBVMGuMrB,2024-07-21T16:15:48.000Z,3686,9212,Kegaska,ZKG,-4,America/Blanc-Sablon,50.18889,-61.291668
33,rec0FJ76VhE0WXBQP,2024-07-21T16:19:20.000Z,6576,6364,Rice Lake,RIE,-6,America/Chicago,45.47861,-91.72361
34,rec0FNnFzbDKqhGBQ,2024-07-21T16:15:04.000Z,3071,6210,Holstebro,QWO,1,Europe/Copenhagen,56.36009,8.61607
35,rec0FOBSDOCY0yBaO,2024-07-21T16:12:35.000Z,952,775,Blythe,BLH,-7,America/Phoenix,33.620834,-114.71889
36,rec0FR9GUb3A9obFD,2024-07-21T16:16:14.000Z,4041,4081,La Esperanza,LEZ,-6,America/Tegucigalpa,14.25,-88.166664
37,rec0FZSdifmb4AaN3,2024-07-21T16:21:05.000Z,7963,7478,Torres,TOH,11,Pacific/Efate,-13.166667,166.75
38,rec0FyKJGT22qYcTu,2024-07-21T16:18:55.000Z,6226,5979,Port Macquarie,PQQ,10,Australia/Sydney,-31.431402,152.86723
39,rec0G2POlJYT4t4xm,2024-07-21T16:22:00.000Z,8704,2085,Yerbogachen,ERG,8,Asia/Irkutsk,61.275,108.03
40,rec0G3IZD7Sj61XJn,2024-07-21T16:15:54.000Z,3775,7390,Kigoma,TKQ,3,Africa/Dar_es_Salaam,-4.885,29.67
41,rec0GCfORYaKu4I38,2024-07-21T16:12:23.000Z,798,2155,Beloyarsky,EYK,5,Asia/Yekaterinburg,63.696682,66.70121
42,rec0GTR2pxfz4Vyx1,2024-07-21T16:11:58.000Z,455,385,Asuncion,ASU,-4,America/Asuncion,-25.241795,-57.513794
43,rec0GdfDYo9dV6ZQi,2024-07-21T16:12:15.000Z,670,893,Barra,BQQ,-3,America/Bahia,-11.083333,-43.13333
44,rec0GiWS1YrXrNxiZ,2024-07-21T16:12:33.000Z,928,1029,Blackwell,BWL,-6,America/Chicago,36.8,-97.28333
45,rec0GvrXAigBvkduc,2024-07-21T16:19:13.000Z,6477,6540,Rairua,RVV,-10,Pacific/Tahiti,-25.883333,-147.65
46,rec0HilzrTiuNPYOe,2024-07-21T16:12:48.000Z,1139,636,Bullfrog Basin,BFG,-7,America/Phoenix,37.545834,-110.71333
47,rec0I6dBL3hpUnOwD,2024-07-21T16:20:23.000Z,7408,6941,Springdale,SPZ,-6,America/Chicago,36.183334,-94.166664
48,rec0JPiLIMDNkJF0a,2024-07-21T16:16:56.000Z,4629,4835,Manare,MRM,10,Pacific/Port_Moresby,-9.166667,147.6
49,rec0JbmgiYLNk3FMF,2024-07-21T16:21:31.000Z,8300,7883,Victorville,VCV,-8,America/Los_Angeles,34.533333,-117.3
50,rec0JySXlZfwawF2z,2024-07-21T16:16:05.000Z,3911,3746,Kone,KNQ,11,Pacific/Noumea,-21.053333,164.83778
51,rec0K7GbIKHOXs9hJ,2024-07-21T16:16:10.000Z,3990,7693,Kumejima,UEO,9,Asia/Tokyo,26.365278,126.719444
52,rec0Ko2Vdkv0b974o,2024-07-21T16:19:47.000Z,6924,6643,Sand Point,SDP,-9,America/Anchorage,55.316666,-160.51389
53,rec0LaPyvChtNZ119,2024-07-21T16:11:56.000Z,424,447,Arvaikheer,AVK,8,Asia/Ulaanbaatar,46.266666,102.78333
54,rec0M6J459rF55UnW,2024-07-21T16:11:57.000Z,447,366,Assab,ASA,3,Africa/Asmara,13.07,42.638332
55,rec0MFz7CweBr8Ig9,2024-07-21T16:19:33.000Z,6747,6952,S?o Miguel de Aragao,SQM,-3,America/Sao_Paulo,-13.316667,-50.216667
56,rec0MSOnfjCMJj1Nj,2024-07-21T16:13:59.000Z,2110,2100,Eastsound,ESD,-8,America/Los_Angeles,48.708332,-122.9125
57,rec0MXPhM8ZTKlCtl,2024-07-21T16:19:14.000Z,6497,6429,Rangely,RNG,-7,America/Denver,40.094723,-108.76056
58,rec0Mk9S69vWbcwGf,2024-07-21T16:17:21.000Z,4964,4693,Millicent,MLR,9.30,Australia/Adelaide,-37.483334,140.01666
59,rec0Mn8juyjWy8LyS,2024-07-21T16:16:13.000Z,4024,1919,Kwajalein Atoll,EAL,12,Pacific/Kwajalein,9.333333,166.84723
60,rec0Nb0hFZRSFf8Uf,2024-07-21T16:14:07.000Z,2232,2101,Ensenada,ESE,-8,America/Santa_Isabel,31.866667,-116.61667
61,rec0NlaTOxagd6vOV,2024-07-21T16:12:28.000Z,862,3896,Bhuntar Kullu,KUU,5.30,Asia/Kolkata,31.983334,77.1
62,rec0P1XxXnXnD9sOs,2024-07-21T16:13:20.000Z,1579,1531,Clinton,CTZ,-5,America/New_York,35,-78.36667
63,rec0RJpFjN38u37LC,2024-07-21T16:21:26.000Z,8240,7952,Vallenar,VLR,-4,America/Santiago,-28.591667,-70.761665
64,rec0RMKfRoSKGX6p3,2024-07-21T16:14:17.000Z,2387,2197,Forde,FDE,1,Europe/Oslo,61.39178,5.762073
65,rec0Rq3ntKKn0IEKP,2024-07-21T16:15:38.000Z,3557,3717,Kamileroi,KML,10,Australia/Brisbane,-19.366667,140.05
66,rec0SGngtbN13Hk3m,2024-07-21T16:20:53.000Z,7805,7277,Teptep,TEP,10,Pacific/Port_Moresby,-5.85,146.5
67,rec0SUcVo1F5Vm7Fo,2024-07-21T16:14:17.000Z,2377,2247,Floriano,FLB,-3,America/Fortaleza,-6.8,-43.033333
68,rec0St3M5FPaHCdLx,2024-07-21T16:11:41.000Z,208,4332,Altus,LTS,-6,America/Chicago,34.696667,-99.33806
69,rec0U61cXfVnetIY7,2024-07-21T16:13:19.000Z,1551,1137,Ciudad Bolivar,CBL,-4,America/Caracas,8.128056,-63.5375
70,rec0UbL99GZZj3rB1,2024-07-21T16:15:41.000Z,3590,3750,Kanpur,KNU,5.30,Asia/Kolkata,26.402779,80.4125
71,rec0UqNJyE4iQxqy3,2024-07-21T16:19:16.000Z,6515,6248,Ravenna,RAN,1,Europe/Rome,44.36667,12.223333
72,rec0V0r90oJET7e9X,2024-07-21T16:11:46.000Z,281,441,Aneityum,AUY,11,Pacific/Efate,-20.333332,169.66667
73,rec0WIzHYBrztNQ64,2024-07-21T16:12:02.000Z,508,8558,Avesta Krylbo,XYP,1,Europe/Stockholm,60.14545,16.16785
74,rec0XPAaWrXQXlwf0,2024-07-21T16:13:43.000Z,1887,1915,Dazu,DZU,8,Asia/Chongqing,29.7,105.71667
75,rec0XzQKllqhbpfL4,2024-07-21T16:13:49.000Z,1973,1760,Dikson,DKS,7,Asia/Krasnoyarsk,73.51667,80.36667
76,rec0YA5NRIVaHP8IS,2024-07-21T16:17:52.000Z,5385,5293,Natuna Ranai,NTX,7,Asia/Jakarta,3.95,108.38333
77,rec0YNFmhaf0YPhWv,2024-07-21T16:19:44.000Z,6884,7663,San Juan,UAQ,-3,America/Argentina/San_Juan,-31.55,-68.51667
78,rec0ZGMf01ROqtPA2,2024-07-21T16:12:50.000Z,1151,1050,Buochs,BXO,1,Europe/Zurich,46.966667,8.383333
79,rec0ZfRD3lYTpTqWk,2024-07-21T16:20:01.000Z,7113,6655,Selinsgrove,SEG,-5,America/New_York,40.85,-76.85
80,rec0ZiDf17bz7VRBz,2024-07-21T16:21:20.000Z,8165,7824,Upington,UTN,2,Africa/Johannesburg,-28.400557,21.253332
81,rec0ZoQQVbyDoSN3L,2024-07-21T16:12:10.000Z,618,821,Bandar Abbas,BND,3.30,Asia/Tehran,27.21059,56.368385
82,rec0Zxi5Cieu4t3RU,2024-07-21T16:13:48.000Z,1952,1636,Dhaka,DAC,6,Asia/Dhaka,23.848648,90.405876
83,rec0aVa8YinKa2ERv,2024-07-21T16:11:46.000Z,280,5129,Anegada,NGD,-4,America/Tortola,18.716667,-64.3
84,rec0aXJJ8kDJXNinz,2024-07-21T16:12:58.000Z,1263,1484,Canas,CSC,-6,America/Costa_Rica,10.766667,-85.48333
85,rec0b9l7Yc1QYaIw9,2024-07-21T16:18:59.000Z,6284,5721,Prado,PDF,-3,America/Bahia,-17.35,-39.216667
86,rec0bDzMayx3j5C5r,2024-07-21T16:19:37.000Z,6791,7146,Saint Yan,SYT,1,Europe/Paris,46.4,4.033333
